"会場","開催日","箱番号","番号","レーン名","品名","ブランド名","枠","脇石","重量","品番","ランク","スタート価格","予想時刻","オークション結果","落札価格"
"JBA東京","2024/07/31","402","3","---","時計","ROLEX","WG/SS","AT","","69174G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ E番 箱 保 修理ｶｰﾄﾞ 旧J E番 旧P","","0","","引き","0"
"JBA東京","2024/07/31","402","6","---","時計","ROLEX","YG/SS","AT","","16233G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ 新J 新P U番","","0","","引き","0"
"JBA東京","2024/07/31","411","6","---","時計","ROLEX","YG/SS","AT","","79173G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ A番 新P 新J A番","","0","","落札","530000"
"JBA東京","2024/07/31","412","2","---","時計","ROLEX","WG/SS","AT","","16234 ﾃﾞｲﾄｼﾞｬｽﾄ ｿﾌﾄｹｰｽ 修理明細 旧J X番 ｶﾞﾗｽ小傷","","0","","落札","600000"
"JBA東京","2024/07/31","416","6","---","時計","ROLEX","SS","AT","","16220 ﾃﾞｲﾄｼﾞｬｽﾄ L番 旧J L番","","0","","引き","0"
"JBA東京","2024/07/31","416","7","---","時計","ROLEX","WG/革","AT","123.9g","16519NA ﾃﾞｲﾄﾅ 別展 新J A番","","0","","引き","0"
"JBA東京","2024/07/31","417","1","---","時計","ROLEX","SS","AT","","16710 GMTﾏｽﾀｰ2 別展 旧J L番","","0","","落札","1213000"
"JBA東京","2024/07/31","417","2","---","時計","ROLEX","SS","AT","","69240 ｵｲｽﾀｰﾃﾞｲﾄ 旧J R番","","0","","落札","281000"
"JBA東京","2024/07/31","421","3","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ T番 新J T番","","0","","引き","0"
"JBA東京","2024/07/31","421","9","---","時計","ROLEX","SS","AT","","14000M ｴｱｷﾝｸﾞ K番 新J K番","","0","","落札","412000"
"JBA東京","2024/07/31","422","2","---","時計","ROLEX","PT/革","手巻き","77.3g","14763 ﾁｪﾘｰﾆ 別展 新J K番","","0","","引き","0"
"JBA東京","2024/07/31","422","8","---","時計","ROLEX","YG/SS","AT","","179173NA ﾃﾞｲﾄｼﾞｬｽﾄ 箱 保 新J D番","","0","","落札","755000"
"JBA東京","2024/07/31","426","7","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ ｺﾏ2 旧J L番","","0","","引き","0"
"JBA東京","2024/07/31","427","1","---","時計","ROLEX","YG/SS","AT","","116523NG ﾃﾞｲﾄﾅ 保 別展 新J F番 新P","","0","","引き","0"
"JBA東京","2024/07/31","431","1","---","時計","ROLEX","YG","QZ","145.0g","19018 ｵｲｽﾀｰﾃﾞｲﾃﾞｲﾄ 別展 新J 65番","","0","","落札","1450000"
"JBA東京","2024/07/31","436","1","---","時計","ROLEX","CE/SS","AT","","116500LN ﾃﾞｲﾄﾅ 箱 ｶｰﾄﾞ ｺﾏ2 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","3400000"
"JBA東京","2024/07/31","437","5","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ 64番 旧J 64番","","0","","引き","0"
"JBA東京","2024/07/31","437","8","---","時計","ROLEX","SS","AT","","14060M ｻﾌﾞﾏﾘｰﾅ･ﾉﾝﾃﾞｲﾄ P番 保 別展 旧J P番","","0","","引き","0"
"JBA東京","2024/07/31","441","9","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ X番 旧J X番","","0","","引き","0"
"JBA東京","2024/07/31","441","10","---","時計","ROLEX","WG/SS","AT","","178344 ﾃﾞｲﾄｼﾞｬｽﾄ 24Pﾀﾞｲﾔﾍﾞｾﾞﾙ ﾗﾝﾀﾞﾑ番 ｹｰｽ ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","442","1","---","時計","ROLEX","SS","AT","","116200 ﾃﾞｲﾄｼﾞｬｽﾄ ｶｰﾄﾞ 修理明細 取説 ﾀｸﾞ ｶﾊﾞｰ 新J M番 ﾙｰﾚｯﾄ","","0","","落札","800000"
"JBA東京","2024/07/31","446","6","---","時計","ROLEX","PG/SS","AT","","116621 ﾖｯﾄﾏｽﾀｰ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","446","9","---","時計","ROLEX","SS","AT","","14270 ｴｸｽﾌﾟﾛｰﾗｰⅠ 保 新J A番 ｼﾘｱﾙ･品番に傷あり","","0","","引き","0"
"JBA東京","2024/07/31","447","1","---","時計","ROLEX","YG/SS","AT","","126713GRNR GMTﾏｽﾀｰ2 箱 ｶｰﾄﾞ ｺﾏ3 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","2669000"
"JBA東京","2024/07/31","456","4","---","時計","ROLEX","SS","AT","","5500 ｴｱｷﾝｸﾞ 54番 旧J 54番","","0","","落札","261000"
"JBA東京","2024/07/31","456","10","---","時計","ROLEX","YG/SS","AT","","16233G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ X番 保 修理ｶｰﾄﾞ 旧J X番 旧P","","0","","落札","705000"
"JBA東京","2024/07/31","457","1","---","時計","ROLEX","WG/SS","AT","","279174NG ﾃﾞｲﾄｼﾞｬｽﾄ ｼｪﾙ文字盤 箱 ｶｰﾄﾞ 別展 新J 新P ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","1533000"
"JBA東京","2024/07/31","457","2","---","時計","ROLEX","RG/SS","AT","","116621 ﾖｯﾄﾏｽﾀｰ1 ﾁｮｺﾚｰﾄ文字盤 箱 ｶｰﾄﾞ ｺﾏ1 別展 新J F番 ﾙｰﾚｯﾄ","","0","","落札","1860000"
"JBA東京","2024/07/31","466","6","---","時計","ROLEX","SS","AT","","1603R ﾃﾞｲﾄｼﾞｬｽﾄ 21番 旧J 21番","","0","","引き","0"
"JBA東京","2024/07/31","466","8","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ 44番 旧J 44番","","0","","引き","0"
"JBA東京","2024/07/31","466","10","---","時計","ROLEX","WG/SS","AT","","126234 ﾃﾞｲﾄｼﾞｬｽﾄ Ⅵ･Ⅸﾀﾞｲﾔ ﾗﾝﾀﾞﾑ番 箱 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番","","0","","引き","0"
"JBA東京","2024/07/31","467","1","---","時計","ROLEX","SS","AT","","124200 ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙ 箱 ｶｰﾄﾞ 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","731000"
"JBA東京","2024/07/31","467","2","---","時計","ROLEX","WG/SS","AT","","116234 ﾃﾞｲﾄｼﾞｬｽﾄ/ｼﾙﾊﾞｰ ｶｰﾄﾞ ｺﾏ1 ｶｰﾄﾞｹｰｽ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","467","3","---","時計","ROLEX","SS","AT","","116200 ﾃﾞｲﾄｼﾞｬｽﾄ/ｼﾙﾊﾞｰ 箱 ｶｰﾄﾞ ｺﾏ1 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","780000"
"JBA東京","2024/07/31","467","4","---","時計","ROLEX","YG/SS","AT","","16233G ﾃﾞｲﾄｼﾞｬｽﾄ/ｼｬﾝﾊﾟﾝ10P 保 ｺﾏ1 新J 新P P番","","0","","落札","800000"
"JBA東京","2024/07/31","471","5","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ 64番 旧J 64番","","0","","引き","0"
"JBA東京","2024/07/31","471","8","---","時計","ROLEX","SS","AT","","16600 ｼｰﾄﾞｩｴﾗｰ 保 別展 旧J S番","","0","","引き","0"
"JBA東京","2024/07/31","476","3","---","時計","ROLEX","SS","AT","","16030 ﾃﾞｲﾄｼﾞｬｽﾄ 83番 旧J 83番","","0","","引き","0"
"JBA東京","2024/07/31","476","6","---","時計","ROLEX","YG/SS","AT","","16233G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ W番 新J 新P W番","","0","","引き","0"
"JBA東京","2024/07/31","477","1","---","時計","ROLEX","PT/SS","AT","","116622 ﾖｯﾄﾏｽﾀｰ1/ｼﾙﾊﾞｰ 箱 ｶｰﾄﾞ ｺﾏ1 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","481","3","---","時計","ROLEX","WG/SS","AT","","16234 ﾃﾞｲﾄｼﾞｬｽﾄ L番 箱 修理ｶｰﾄﾞ 旧J L番","","0","","引き","0"
"JBA東京","2024/07/31","481","8","---","時計","ROLEX","SS","AT","","126300 ﾃﾞｲﾄｼﾞｬｽﾄ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","499","3","---","時計","ROLEX","SS","AT","181.0g","116680 ﾖｯﾄﾏｽﾀｰ2 箱 ｶｰﾄﾞ ｺﾏ1 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","2299000"
"JBA東京","2024/07/31","501","2","---","時計","ROLEX","SS","AT","","16700 GMTﾏｽﾀｰ 赤青ﾍﾞｾﾞﾙ 黒文字盤 箱 保 別展 旧J N番","","0","","引き","0"
"JBA東京","2024/07/31","502","2","---","時計","ROLEX","WG/SS","AT","","16234 ﾃﾞｲﾄｼﾞｬｽﾄ 修理ｶｰﾄﾞ 旧J E番","","0","","引き","0"
"JBA東京","2024/07/31","502","6","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ 旧J X番","","0","","引き","0"
"JBA東京","2024/07/31","502","7","---","時計","ROLEX","YG/SS","AT","","16233G ﾃﾞｲﾄｼﾞｬｽﾄ 箱 保 新J 旧P S番","","0","","引き","0"
"JBA東京","2024/07/31","502","8","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ 新J P番","","0","","引き","0"
"JBA東京","2024/07/31","502","9","---","時計","ROLEX","YG/SS","AT","","69173 ﾃﾞｲﾄｼﾞｬｽﾄ ｹｰｽ 新J S番","","0","","引き","0"
"JBA東京","2024/07/31","502","10","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ 旧J 88番","","0","","落札","534000"
"JBA東京","2024/07/31","508","6","---","時計","ROLEX","SS","AT","","14060M ｻﾌﾞﾏﾘｰﾅ･ﾉﾝﾃﾞｲﾄ 保 別展 旧J P番","","0","","落札","1050000"
"JBA東京","2024/07/31","509","1","---","時計","ROLEX","WG/SS","AT","","69174 ﾃﾞｲﾄｼﾞｬｽﾄ 新J W番","","0","","落札","360000"
"JBA東京","2024/07/31","511","3","---","時計","ROLEX","YG/SS","AT","","69173 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 保 新J U番","","0","","落札","444000"
"JBA東京","2024/07/31","512","3","---","時計","ROLEX","YG","手巻き時計","39.5g","ﾁｪﾘｰﾆ","","0","","落札","350000"
"JBA東京","2024/07/31","512","5","---","時計","ROLEX","WG/SS","AT","","16014 ﾃﾞｲﾄｼﾞｬｽﾄ 旧J 55番","","0","","落札","550000"
"JBA東京","2024/07/31","512","7","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ 60番 旧J 60番 ｼﾘｱﾙ側に腐食あり","","0","","落札","550000"
"JBA東京","2024/07/31","514","2","---","時計","ROLEX","YG","AT","73.3g","69178 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 別展 新J 新P T番","","0","","落札","960000"
"JBA東京","2024/07/31","515","1","---","時計","ROLEX","SS","手巻き","","6466 ｵｲｽﾀｰﾃﾞｲﾄﾌﾟﾚｼｼﾞｮﾝ 旧J 23番","","0","","落札","200000"
"JBA東京","2024/07/31","521","2","---","時計","ROLEX","SS","AT","","16220 ﾃﾞｲﾄｼﾞｬｽﾄ ﾌﾞﾙｰ文字盤 箱 ｺﾏ3 旧J X番","","0","","落札","601000"
"JBA東京","2024/07/31","522","1","---","時計","ROLEX","SS","AT","","114270 ｴｸｽﾌﾟﾛｰﾗｰⅠ Y番 保 新J Y番","","0","","落札","650000"
"JBA東京","2024/07/31","522","2","---","時計","ROLEX","WG/SS","AT","","116234 ﾃﾞｲﾄｼﾞｬｽﾄ ﾗﾝﾀﾞﾑ番 ｹｰｽ 修理ｶｰﾄﾞ 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","902000"
"JBA東京","2024/07/31","522","3","---","時計","ROLEX","SS","AT","","116200 ﾃﾞｲﾄｼﾞｬｽﾄ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","522","4","---","時計","ROLEX","SS","AT","","16570 ｴｸｽﾌﾟﾛｰﾗｰⅡ K番 保 旧J K番","","0","","引き","0"
"JBA東京","2024/07/31","522","5","---","時計","ROLEX","SS","AT","","116400 ﾐﾙｶﾞｳｽ V番 ｶｰﾄﾞ 別展 新J V番 ﾙｰﾚｯﾄ","","0","","落札","1070000"
"JBA東京","2024/07/31","522","6","---","時計","ROLEX","PT/SS","AT","146.6g","16622 ﾖｯﾄﾏｽﾀｰ ﾛﾚｼﾞｳﾑ K番 保 別展 新J K番","","0","","落札","1079000"
"JBA東京","2024/07/31","522","7","---","時計","ROLEX","PT/SS","AT","148.9g","116622 ﾖｯﾄﾏｽﾀｰ ﾛﾚｼﾞｳﾑ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ ｺﾏ1 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","522","8","---","時計","ROLEX","YG/SS","AT","149.3g","116523 ﾃﾞｲﾄﾅ ﾗﾝﾀﾞﾑ番 箱 ｶｰﾄﾞ ｺﾏ3 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","2280000"
"JBA東京","2024/07/31","522","9","---","時計","ROLEX","SS","AT","","126720VTNR GMTﾏｽﾀｰⅡ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","引き","0"
"JBA東京","2024/07/31","522","10","---","時計","ROLEX","WG/ﾗﾊﾞｰ","AT","157.2g","116519LNG ﾃﾞｲﾄﾅ 8Pﾀﾞｲﾔ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 新P ﾙｰﾚｯﾄ","","0","","引き","0"
